id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1810,Roberto Soriano,37,3261,9,6.679310718551278,6,7.547535768710077,60,52,5,0,F M,Bologna,9,6.679310718551278,19.725747913122177,9.21768607571721,Bologna,2020,Serie_A
6512,Musa Barrow,38,2946,8,8.407222962938249,8,6.859124674461782,88,60,0,0,F M S,Bologna,8,7.64592198189348,16.327475416474044,7.666678353212774,Bologna,2020,Serie_A
6160,Riccardo Orsolini,34,1760,7,9.021925428882241,3,2.5082908952608705,57,29,0,0,D M S,Bologna,4,6.738027343526483,10.936943737789989,4.4316063560545444,Bologna,2020,Serie_A
1518,Rodrigo Palacio,36,2508,5,9.866799197159708,5,5.065782814286649,54,40,5,0,F M S,Bologna,5,9.866799197159708,20.14633353985846,8.023169688880444,Bologna,2020,Serie_A
6974,Mattias Svanberg,34,1878,5,5.155924974009395,2,2.7285462841391563,58,15,6,1,M S,Bologna,5,5.155924974009395,9.55172082502395,4.71785066369921,Bologna,2020,Serie_A
1193,Lorenzo De Silvestri,29,2160,2,2.058621011674404,0,0.7418593307957053,11,13,4,0,D S,Bologna,2,2.058621011674404,6.316065266728401,5.46388640627265,Bologna,2020,Serie_A
1826,Nicola Sansone,26,1163,2,4.247087912634015,2,2.5972266867756844,31,31,2,0,M S,Bologna,2,4.247087912634015,7.998279295861721,2.360999494791031,Bologna,2020,Serie_A
7931,Takehiro Tomiyasu,31,2721,2,2.285686256363988,0,0.43029759638011456,16,8,4,0,D,Bologna,2,2.285686256363988,8.129145577549934,7.272032214328647,Bologna,2020,Serie_A
7934,Andreas Skov Olsen,26,1170,2,3.8567912625148892,2,2.0574786365032196,30,19,1,0,D M S,Bologna,2,3.8567912625148892,7.769135056063533,2.634306313470006,Bologna,2020,Serie_A
1117,Andrea Poli,18,376,1,0.962770976126194,0,0.560308906249702,3,6,1,0,M S,Bologna,1,0.962770976126194,1.667701399885118,0.2704366948455572,Bologna,2020,Serie_A
1458,Ibrahima Mbaye,8,427,1,0.5738170146942139,0,0.024622399359941483,1,1,2,0,D S,Bologna,1,0.5738170146942139,0.8330504894256592,0.23461000621318817,Bologna,2020,Serie_A
3356,Adama Soumaoro,20,1752,1,1.278953162021935,0,0.03981267986819148,8,3,4,0,D S,Bologna,1,1.278953162021935,6.395035202614963,5.640587532427162,Bologna,2020,Serie_A
4943,Emanuel Vignato,31,1180,1,1.5615506153553724,4,3.2943006521090865,23,26,4,0,M S,Bologna,1,1.5615506153553724,7.903249576687813,5.235997525975108,Bologna,2020,Serie_A
6973,Nehuén Paz,6,358,1,0.47316619474440813,0,0.013097099959850311,2,1,0,0,D S,Bologna,1,0.47316619474440813,0.24919849913567305,0.23610139917582273,Bologna,2020,Serie_A
7933,Jerdy Schouten,34,2518,1,0.16803480312228203,1,2.569762498140335,9,24,8,1,M S,Bologna,1,0.16803480312228203,10.763233807869256,8.724704436957836,Bologna,2020,Serie_A
8252,Nicolás Domínguez,28,1248,1,1.187559929676354,0,1.569201661273837,18,20,8,0,M S,Bologna,1,1.187559929676354,4.240804923698306,2.474937330931425,Bologna,2020,Serie_A
1140,Danilo,35,3132,0,0.9375772075727582,1,1.587674554437399,15,9,7,0,D S,Bologna,0,0.9375772075727582,7.381950527429581,6.595586201176047,Bologna,2020,Serie_A
1305,Lukasz Skorupski,28,2520,0,0,0,0,0,0,1,0,GK,Bologna,0,0,3.5061707040295005,3.5061707040295005,Bologna,2020,Serie_A
1437,Ângelo Da Costa,6,540,0,0,0,0,0,0,2,0,GK,Bologna,0,0,0.0682027991861105,0.0682027991861105,Bologna,2020,Serie_A
1510,Gary Medel,11,505,0,0,1,0.1360774040222168,0,2,1,0,D M S,Bologna,0,0,1.433360692113638,1.2972836904227734,Bologna,2020,Serie_A
1544,Federico Ravaglia,4,360,0,0,0,0,0,0,0,0,GK,Bologna,0,0,0,0,Bologna,2020,Serie_A
3965,Arturo Calabresi,1,18,0,0,0,0,0,0,0,0,S,Bologna,0,0,0,0,Bologna,2020,Serie_A
4912,Paolo Faragò,1,21,0,0.0685679018497467,0,0,1,0,0,0,S,Bologna,0,0.0685679018497467,0.1523360013961792,0.08376839756965637,Bologna,2020,Serie_A
6971,Mitchell Dijks,20,1506,0,0.06295779906213284,0,0.23285140097141266,2,6,5,1,D S,Bologna,0,0.06295779906213284,4.442234739661217,4.146426843479276,Bologna,2020,Serie_A
6972,Federico Santander,4,29,0,0.21346820145845413,1,0.37991300225257874,4,1,0,0,S,Bologna,0,0.21346820145845413,0.500760905444622,0,Bologna,2020,Serie_A
7263,Musa Juwara,5,39,0,0.018803900107741356,0,0,1,0,1,0,S,Bologna,0,0.018803900107741356,0.018803900107741356,0,Bologna,2020,Serie_A
7932,Stefano Denswil,5,107,0,0,0,0,0,0,0,0,D S,Bologna,0,0,0.3803219897672534,0.3803219897672534,Bologna,2020,Serie_A
8124,Andri Fannar Baldursson,8,209,0,0.12871750444173813,0,0.058266498148441315,2,1,2,0,M S,Bologna,0,0.12871750444173813,0.8797483742237091,0.8214818760752678,Bologna,2020,Serie_A
8154,Edoardo Vergani,1,11,0,0,0,0,0,0,0,0,S,Bologna,0,0,0,0,Bologna,2020,Serie_A
8942,Aaron Hickey,11,766,0,0.038923799991607666,0,0.04680180177092552,2,2,3,1,D S,Bologna,0,0.038923799991607666,1.8491151966154575,1.780365500599146,Bologna,2020,Serie_A
9059,Simone Rabbi,4,30,0,0,1,0.02218095026910305,0,2,0,0,S,Bologna,0,0,0.02218095026910305,0,Bologna,2020,Serie_A
9123,Omar Khailoti,1,27,0,0,0,0,0,0,0,0,S,Bologna,0,0,0.20201200246810913,0.20201200246810913,Bologna,2020,Serie_A
9124,Mattia Pagliuca,1,10,0,0,0,0.012972500175237656,0,1,0,0,S,Bologna,0,0,0.012972500175237656,0,Bologna,2020,Serie_A
