id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
9018,M&#039;Bala Nzola,25,1900,11,9.377023961395025,3,2.414638429880142,45,22,5,0,F S,Spezia,7,6.331816848367453,10.097772940993309,2.7920549605041742,Spezia,2020,Serie_A
2044,Daniele Verde,21,992,6,3.33925043605268,1,2.113800160586834,33,10,0,0,F S,Spezia,6,3.33925043605268,5.935439515858889,1.1191163156181574,Spezia,2020,Serie_A
8912,Tommaso Pobega,20,1269,6,3.648391418159008,0,0.3380106948316097,22,7,6,0,M S,Spezia,6,3.648391418159008,4.250079611316323,1.531327173113823,Spezia,2020,Serie_A
7375,Roberto Piccoli,20,693,5,5.036983218044043,0,0.5007428098469973,15,3,0,0,F S,Spezia,5,5.036983218044043,6.209609758108854,0.6718840301036835,Spezia,2020,Serie_A
1605,Diego Farias,29,1500,4,2.98711727373302,2,4.02491994574666,32,32,5,0,F S,Spezia,4,2.98711727373302,8.71684094145894,3.8149530608206987,Spezia,2020,Serie_A
8913,Emmanuel Gyasi,37,2869,4,5.1168184243142605,6,4.33998222835362,29,28,4,0,F S,Spezia,4,5.1168184243142605,12.612692832946777,4.7773666102439165,Spezia,2020,Serie_A
2053,Martin Erlic,27,1786,3,1.4483483592048287,1,0.48531201481819153,9,1,6,0,D S,Spezia,3,1.4483483592048287,2.894431544467807,2.883175542578101,Spezia,2020,Serie_A
6201,Andrej Galabinov,12,411,3,2.9641175493597984,1,0.24163099378347397,8,3,0,0,F S,Spezia,3,2.2028185352683067,2.775692030787468,0.4455863004550338,Spezia,2020,Serie_A
8944,Giulio Maggiore,33,2231,3,5.055751647800207,1,1.8861123118549585,40,13,3,0,M S,Spezia,3,5.055751647800207,9.435792101547122,4.309062648564577,Spezia,2020,Serie_A
1313,Riccardo Saponara,9,394,2,1.1849266961216927,0,0.6816972121596336,10,4,0,1,F M S,Spezia,2,1.1849266961216927,2.5290456861257553,0.8427336812019348,Spezia,2020,Serie_A
3842,Claudio Terzi,25,1880,1,0.6255325106903911,1,0.7235097866505384,5,5,7,1,D S,Spezia,1,0.6255325106903911,3.1826001396402717,2.8888578368350863,Spezia,2020,Serie_A
7937,Julian Chabot,25,1651,1,0.8326523061841726,1,0.6921412069350481,9,5,9,1,D S,Spezia,1,0.8326523061841726,3.354884685948491,3.2395168896764517,Spezia,2020,Serie_A
8010,Kevin Agudelo,29,1349,1,1.2943015089258552,2,1.203430088236928,19,12,4,0,F S,Spezia,1,1.2943015089258552,4.601859170012176,2.2041113823652267,Spezia,2020,Serie_A
8916,Simone Bastoni,22,1538,1,1.203152857720852,6,2.627112690359354,21,29,7,0,D S,Spezia,1,1.203152857720852,5.448463845998049,2.7633594553917646,Spezia,2020,Serie_A
9090,Ardian Ismajli,17,1294,1,0.668645323254168,1,0.6446983944624662,6,2,1,1,D S,Spezia,1,0.668645323254168,2.260973867960274,2.1473800279200077,Spezia,2020,Serie_A
1221,Jacopo Sala,6,383,0,0,0,0.8362630009651184,0,3,1,0,D S,Spezia,0,0,1.2708777748048306,0.43461480364203453,Spezia,2020,Serie_A
1410,Rafael,3,205,0,0,1,0.3084479868412018,0,1,0,0,GK S,Spezia,0,0,0.43130598962306976,0.12285800278186798,Spezia,2020,Serie_A
1476,Cristian Dell&#039;Orco,8,259,0,0.07512179762125015,0,0,1,0,0,0,D S,Spezia,0,0.07512179762125015,0.6973264254629612,0.6222048290073872,Spezia,2020,Serie_A
1546,Federico Mattiello,1,33,0,0,0,0,0,0,0,0,S,Spezia,0,0,0,0,Spezia,2020,Serie_A
1601,Riccardo Marchizza,24,1557,0,0.4494059905409813,2,1.234259394928813,7,15,4,0,D S,Spezia,0,0.4494059905409813,3.044696416705847,2.131877701729536,Spezia,2020,Serie_A
1634,Alessandro Deiola,12,349,0,0.23655059468001127,0,0.6108877025544643,5,9,1,0,M S,Spezia,0,0.23655059468001127,1.0941574983298779,0.8056058324873447,Spezia,2020,Serie_A
5825,Elio Capradossi,1,90,0,0.11450500041246414,0,0,1,0,0,0,D,Spezia,0,0.11450500041246414,0,0,Spezia,2020,Serie_A
6181,Luca Mora,4,101,0,0.09990520030260086,0,0,1,0,0,0,M S,Spezia,0,0.09990520030260086,0.13577799871563911,0.035872798413038254,Spezia,2020,Serie_A
6982,Ivan Provedel,29,2610,0,0,0,0,0,0,1,0,GK,Spezia,0,0,1.4688880778849125,1.4688880778849125,Spezia,2020,Serie_A
8165,Lucien Agoume,12,799,0,0.10568970069289207,0,0.10135850310325623,2,2,2,0,M S,Spezia,0,0.10568970069289207,1.4813132025301456,1.3267141915857792,Spezia,2020,Serie_A
8908,Jeroen Zoet,7,605,0,0,0,0,0,0,1,0,GK,Spezia,0,0,0.6374385301023722,0.6374385301023722,Spezia,2020,Serie_A
8909,Juan Ramos,6,288,0,0.01579499989748001,0,0.21731459349393845,1,4,1,0,D S,Spezia,0,0.01579499989748001,1.0098505020141602,0.9172285199165344,Spezia,2020,Serie_A
8910,Paolo Bartolomei,6,321,0,0.1310662031173706,1,0.26805009692907333,4,5,1,0,M S,Spezia,0,0.1310662031173706,0.5010830126702785,0.2659289985895157,Spezia,2020,Serie_A
8911,Matteo Ricci,29,2244,0,0.8800480235368013,2,1.929901596158743,21,22,5,0,M S,Spezia,0,0.8800480235368013,6.969308665022254,5.750298013910651,Spezia,2020,Serie_A
8914,Salvador Ferrer,18,1183,0,0.09670150093734264,1,1.0900608245283365,3,14,4,0,D S,Spezia,0,0.09670150093734264,3.7974207401275635,3.043474465608597,Spezia,2020,Serie_A
8915,Luca Vignali,21,1602,0,0.13351300079375505,0,0.7010582154616714,4,10,4,1,D S,Spezia,0,0.13351300079375505,2.4606996355578303,1.8423687424510717,Spezia,2020,Serie_A
8975,Gennaro Acampora,14,420,0,0.2586810998618603,0,0.008392469957470894,9,1,2,0,F M S,Spezia,0,0.2586810998618603,1.2876731175929308,1.1130159236490726,Spezia,2020,Serie_A
9065,Nahuel Estévez,27,1781,0,2.0454933205619454,3,2.4279490718618035,26,28,7,0,M S,Spezia,0,2.0454933205619454,6.8107709707692266,3.98781294003129,Spezia,2020,Serie_A
