id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
16765,True,a,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '0', 'a': '1'}","{'h': '1.24757', 'a': '0.804449'}",2021-08-23 18:45:00,"{'w': 0.46693573122173093, 'd': 0.29360787023025664, 'l': 0.23945639854142609}",w,AC Milan,2021,Serie_A
16774,True,h,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '4', 'a': '1'}","{'h': '2.67169', 'a': '0.406709'}",2021-08-29 18:45:00,"{'w': 0.8515603259211427, 'd': 0.1113969214965376, 'l': 0.03704259286310888}",w,AC Milan,2021,Serie_A
16780,True,h,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '2', 'a': '0'}","{'h': '3.47807', 'a': '0.24655'}",2021-09-12 16:00:00,"{'w': 0.9403736086823699, 'd': 0.04968800514204719, 'l': 0.009934426366000424}",w,AC Milan,2021,Serie_A
16790,True,a,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '1'}","{'h': '1.31518', 'a': '1.04896'}",2021-09-19 18:45:00,"{'w': 0.4267966549718138, 'd': 0.2759745499973226, 'l': 0.2972287950166571}",d,AC Milan,2021,Serie_A
16800,True,h,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'h': '2', 'a': '0'}","{'h': '2.11409', 'a': '0.581225'}",2021-09-22 18:45:00,"{'w': 0.7311395313295214, 'd': 0.17973578152146713, 'l': 0.08912467914718676}",w,AC Milan,2021,Serie_A
16812,True,a,"{'id': '260', 'title': 'Spezia', 'short_title': 'SPE'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '2'}","{'h': '0.953769', 'a': '1.74102'}",2021-09-25 13:00:00,"{'w': 0.20511715542879766, 'd': 0.23585208053875764, 'l': 0.5590307634169684}",w,AC Milan,2021,Serie_A
16816,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '2', 'a': '3'}","{'h': '2.63096', 'a': '2.50955'}",2021-10-03 18:45:00,"{'w': 0.43050323880885616, 'd': 0.18061993166199025, 'l': 0.38887662522368294}",w,AC Milan,2021,Serie_A
16831,True,h,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '3', 'a': '2'}","{'h': '1.51852', 'a': '1.58319'}",2021-10-16 18:45:00,"{'w': 0.366838208001745, 'd': 0.23830671911388632, 'l': 0.39485507261566777}",w,AC Milan,2021,Serie_A
16837,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '2', 'a': '4'}","{'h': '0.631007', 'a': '0.90866'}",2021-10-23 18:45:00,"{'w': 0.24161663439198544, 'd': 0.35620290649811903, 'l': 0.4021804591098175}",w,AC Milan,2021,Serie_A
16850,True,h,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '1', 'a': '0'}","{'h': '1.12486', 'a': '0.488007'}",2021-10-26 18:45:00,"{'w': 0.51540204560935, 'd': 0.3246905401429524, 'l': 0.15990741424613833}",w,AC Milan,2021,Serie_A
