id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
16760,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '3', 'a': '2'}","{'h': '1.72577', 'a': '1.63711'}",2021-08-22 16:30:00,"{'w': 0.40471150893148905, 'd': 0.22760349072019273, 'l': 0.3676849995320586}",w,Bologna,2021,Serie_A
16769,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '0', 'a': '0'}","{'h': '0.989249', 'a': '0.41987'}",2021-08-28 16:30:00,"{'w': 0.48927839529735573, 'd': 0.356892665939536, 'l': 0.1538289387628506}",d,Bologna,2021,Serie_A
16777,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '1', 'a': '0'}","{'h': '1.25512', 'a': '0.315142'}",2021-09-13 18:45:00,"{'w': 0.608791448601386, 'd': 0.2987612185939903, 'l': 0.09244733279747873}",w,Bologna,2021,Serie_A
16789,True,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '6', 'a': '1'}","{'h': '4.28011', 'a': '0.855616'}",2021-09-18 16:00:00,"{'w': 0.9126297469590896, 'd': 0.05731130841928521, 'l': 0.030016426047522457}",l,Bologna,2021,Serie_A
16797,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '2'}","{'h': '2.2881', 'a': '1.69881'}",2021-09-21 16:30:00,"{'w': 0.5127295978563018, 'd': 0.19968937976542617, 'l': 0.2875809996379775}",d,Bologna,2021,Serie_A
16806,True,a,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '4', 'a': '2'}","{'h': '1.47687', 'a': '2.49784'}",2021-09-26 13:00:00,"{'w': 0.21635888129410602, 'd': 0.18521473961103946, 'l': 0.5984263106289274}",l,Bologna,2021,Serie_A
16817,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '3', 'a': '0'}","{'h': '0.778479', 'a': '0.96271'}",2021-10-03 10:30:00,"{'w': 0.28234083478946215, 'd': 0.333465121477534, 'l': 0.3841940437328198}",w,Bologna,2021,Serie_A
16834,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '1', 'a': '1'}","{'h': '1.35716', 'a': '1.49614'}",2021-10-17 13:00:00,"{'w': 0.34406977735545213, 'd': 0.24940030951551428, 'l': 0.4065299130284934}",d,Bologna,2021,Serie_A
16837,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '2', 'a': '4'}","{'h': '0.631007', 'a': '0.90866'}",2021-10-23 18:45:00,"{'w': 0.24161663439198544, 'd': 0.35620290649811903, 'l': 0.4021804591098175}",l,Bologna,2021,Serie_A
16851,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '3', 'a': '0'}","{'h': '2.67727', 'a': '0.251648'}",2021-10-28 18:45:00,"{'w': 0.8831851222415555, 'd': 0.09600863799014202, 'l': 0.0208060758216871}",l,Bologna,2021,Serie_A
