id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
4895,Andrea Pinamonti,36,2871,13,12.275352196767926,2,3.373107163235545,89,29,4,0,F S,Empoli,9,9.230156244710088,13.560798598453403,3.3956189434975386,Empoli,2021,Serie_A
7910,Szymon Zurkowski,35,2333,6,4.342889392748475,2,1.4273242931813002,47,20,5,0,M S,Empoli,6,4.342889392748475,8.15306318551302,4.178383056074381,Empoli,2021,Serie_A
9851,Nedim Bajrami,35,2066,6,5.870812386274338,5,4.049058185890317,53,54,3,0,F M S,Empoli,3,3.5869160778820515,9.353304831311107,5.065708925947547,Empoli,2021,Serie_A
1449,Federico Di Francesco,26,1382,5,2.3233558228239417,0,0.9368596132844687,26,14,2,0,F M S,Empoli,5,2.3233558228239417,4.729467221535742,1.648453602567315,Empoli,2021,Serie_A
4918,Patrick Cutrone,28,1395,3,4.375115068629384,0,0.623331293463707,50,9,1,0,F S,Empoli,3,4.375115068629384,6.377214223146439,1.5220669945701957,Empoli,2021,Serie_A
1971,Simone Romagnoli,19,1497,2,1.82380997762084,0,0.7224666131660342,5,5,3,0,D S,Empoli,2,1.82380997762084,3.388994824141264,3.266041239723563,Empoli,2021,Serie_A
6991,Leo Stulac,23,821,2,0.25510210264474154,2,0.36894224351271987,9,9,1,0,M S,Empoli,2,0.25510210264474154,2.464198775589466,2.1697920691221952,Empoli,2021,Serie_A
7925,Liam Henderson,38,2021,2,2.0114509826526046,3,3.2801365656778216,42,39,4,0,F M S,Empoli,2,2.0114509826526046,6.743226437829435,3.9819438327103853,Empoli,2021,Serie_A
7972,Andrea La Mantia,18,469,2,1.617861251346767,1,0.8075840044766665,17,8,0,0,F S,Empoli,2,1.617861251346767,1.662772187963128,0.44857329968363047,Empoli,2021,Serie_A
9850,Filippo Bandinelli,35,1985,2,1.9755111169070005,3,4.346691346727312,35,33,10,0,M S,Empoli,2,1.9755111169070005,8.5200664550066,3.8003486823290586,Empoli,2021,Serie_A
7530,Samuele Ricci,21,1533,1,0.1773576489649713,1,0.3042088970541954,8,7,1,1,M S,Empoli,1,0.1773576489649713,4.707128629088402,4.57475833594799,Empoli,2021,Serie_A
9849,Petar Stojanovic,33,2748,1,0.5318412985652685,1,2.4451792165637016,11,34,9,1,D S,Empoli,1,0.5318412985652685,8.422318620607257,6.5711854957044125,Empoli,2021,Serie_A
9852,Leonardo Mancuso,8,432,1,1.8772080391645432,0,0.13707619905471802,12,3,0,0,F S,Empoli,1,1.8772080391645432,2.262929528951645,0.3229048028588295,Empoli,2021,Serie_A
9854,Kristjan Asllani,23,1334,1,0.7426949171349406,1,0.9284102972596884,17,6,2,0,M S,Empoli,1,0.7426949171349406,3.2731244610622525,2.3955240547657013,Empoli,2021,Serie_A
1105,Riccardo Fiamozzi,10,627,0,0,1,1.107400394976139,0,6,1,0,D S,Empoli,0,0,2.241429228335619,1.8455160073935986,Empoli,2021,Serie_A
1183,Marco Benassi,12,359,0,0.8396563287824392,0,0.48509618639945984,7,4,1,0,M S,Empoli,0,0.8396563287824392,2.043225310742855,0.8751056827604771,Empoli,2021,Serie_A
1394,Lorenzo Tonelli,14,858,0,0.6913956087082624,0,0.311770997941494,7,6,4,0,D S,Empoli,0,0.6913956087082624,1.8676618076860905,1.7504743095487356,Empoli,2021,Serie_A
1569,Valerio Verre,8,309,0,0.47431229054927826,1,0.5464244149625301,9,5,2,1,M S,Empoli,0,0.47431229054927826,2.201719030737877,1.5665099918842316,Empoli,2021,Serie_A
1601,Riccardo Marchizza,19,1355,0,0.33188899233937263,1,1.6436256654560566,8,12,4,0,D S,Empoli,0,0.33188899233937263,3.6504641138017178,2.9439468318596482,Empoli,2021,Serie_A
1639,Sebastiano Luperto,24,1963,0,0.7671998981386423,2,0.31627029832452536,9,9,6,1,D S,Empoli,0,0.7671998981386423,3.503214285708964,3.3580684773623943,Empoli,2021,Serie_A
6161,Nicolas Haas,16,1010,0,0.575326593592763,2,0.9834335073828697,7,13,3,0,M S,Empoli,0,0.575326593592763,3.0378732169047,2.0251610288396478,Empoli,2021,Serie_A
6169,Giovanni Crociata,1,14,0,0.12483599781990051,0,0,1,0,0,0,S,Empoli,0,0.12483599781990051,0.14327700436115265,0.018441399559378624,Empoli,2021,Serie_A
8858,Guglielmo Vicario,38,3420,0,0,0,0.01197030022740364,0,1,1,0,GK,Empoli,0,0,6.050675278529525,6.038704281672835,Empoli,2021,Serie_A
9090,Ardian Ismajli,20,1259,0,0.2098650997504592,0,0.11433819867670536,5,3,7,0,D S,Empoli,0,0.2098650997504592,3.9800751730799675,3.928584661334753,Empoli,2021,Serie_A
9855,Mattia Viti,20,1482,0,0.4776530899107456,0,0.06274492014199495,4,2,1,1,D S,Empoli,0,0.4776530899107456,1.6064391136169434,1.488777369260788,Empoli,2021,Serie_A
9924,Fabiano Parisi,25,1467,0,0.9512948878109455,1,0.35899459663778543,16,9,5,0,D S,Empoli,0,0.9512948878109455,4.2646248219534755,3.264774678274989,Empoli,2021,Serie_A
9951,Tommaso Baldanzi,1,15,0,0,0,0.016216399148106575,0,1,0,0,S,Empoli,0,0,0.042295198887586594,0.02607879973948002,Empoli,2021,Serie_A
10385,Liberato Cacace,10,469,0,0.06517809629440308,0,0.016651900485157967,1,1,1,0,D S,Empoli,0,0.06517809629440308,0.7815602943301201,0.716382198035717,Empoli,2021,Serie_A
