id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
16757,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '4', 'a': '0'}","{'h': '2.20707', 'a': '0.967177'}",2021-08-21 16:30:00,"{'w': 0.6552128401427197, 'd': 0.19169869583611304, 'l': 0.15308845002326635}",w,Inter,2021,Serie_A
16767,True,a,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '3'}","{'h': '0.603998', 'a': '1.8369'}",2021-08-27 18:45:00,"{'w': 0.1152036054239214, 'd': 0.21404127020930516, 'l': 0.6707551231090874}",w,Inter,2021,Serie_A
16783,True,a,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '2', 'a': '2'}","{'h': '1.46613', 'a': '0.965476'}",2021-09-12 10:30:00,"{'w': 0.4874652987049751, 'd': 0.26391500308623256, 'l': 0.24861969814823703}",d,Inter,2021,Serie_A
16789,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '6', 'a': '1'}","{'h': '4.28011', 'a': '0.855616'}",2021-09-18 16:00:00,"{'w': 0.9126297469590896, 'd': 0.05731130841928521, 'l': 0.030016426047522457}",w,Inter,2021,Serie_A
16799,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '3'}","{'h': '1.733', 'a': '2.73737'}",2021-09-21 18:45:00,"{'w': 0.23326490448848258, 'd': 0.1762892149360447, 'l': 0.5904456636592655}",w,Inter,2021,Serie_A
16808,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '2'}","{'h': '3.52091', 'a': '1.50237'}",2021-09-25 16:00:00,"{'w': 0.7516607920368354, 'd': 0.12567080168690234, 'l': 0.12266383267772805}",d,Inter,2021,Serie_A
16824,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '2'}","{'h': '1.61921', 'a': '2.04169'}",2021-10-02 18:45:00,"{'w': 0.30920078547446783, 'd': 0.2128564949256064, 'l': 0.47794271429301466}",w,Inter,2021,Serie_A
16830,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '3', 'a': '1'}","{'h': '2.31397', 'a': '1.44791'}",2021-10-16 16:00:00,"{'w': 0.5693912363885351, 'd': 0.19643535765349276, 'l': 0.23417338014014982}",l,Inter,2021,Serie_A
16840,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '1', 'a': '1'}","{'h': '0.961912', 'a': '1.34492'}",2021-10-24 18:45:00,"{'w': 0.2678621017560936, 'd': 0.27656039552000194, 'l': 0.45557750270520486}",d,Inter,2021,Serie_A
16847,True,a,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '2'}","{'h': '0.542985', 'a': '3.07924'}",2021-10-27 18:45:00,"{'w': 0.03839737164659244, 'd': 0.09393762000981658, 'l': 0.867664087219853}",w,Inter,2021,Serie_A
16861,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '2', 'a': '0'}","{'h': '2.0569', 'a': '0.303819'}",2021-10-31 11:30:00,"{'w': 0.792310859252157, 'd': 0.16319268818644259, 'l': 0.044496446968704605}",w,Inter,2021,Serie_A
16870,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '1'}","{'h': '1.15715', 'a': '2.34764'}",2021-11-07 19:45:00,"{'w': 0.174206537738301, 'd': 0.18705146166679176, 'l': 0.6387419695761101}",d,Inter,2021,Serie_A
16881,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '3', 'a': '2'}","{'h': '2.19596', 'a': '0.941603'}",2021-11-21 17:00:00,"{'w': 0.6590558214707605, 'd': 0.19163265543272823, 'l': 0.14931150998452125}",w,Inter,2021,Serie_A
16895,True,a,"{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '2'}","{'h': '0.192519', 'a': '2.60343'}",2021-11-27 19:45:00,"{'w': 0.016375960715171264, 'd': 0.095714134430958, 'l': 0.88790978944516}",w,Inter,2021,Serie_A
16901,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '260', 'title': 'Spezia', 'short_title': 'SPE'}","{'h': '2', 'a': '0'}","{'h': '2.85144', 'a': '0.25153'}",2021-12-01 17:30:00,"{'w': 0.8988047168947534, 'd': 0.08338789248218294, 'l': 0.017807031535746497}",w,Inter,2021,Serie_A
16912,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '3'}","{'h': '0.530518', 'a': '1.67407'}",2021-12-04 17:00:00,"{'w': 0.11319315089714414, 'd': 0.23227157636932672, 'l': 0.6545352723698467}",w,Inter,2021,Serie_A
16919,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '4', 'a': '0'}","{'h': '3.63912', 'a': '0.222398'}",2021-12-12 19:45:00,"{'w': 0.9505912560999707, 'd': 0.04183192394679173, 'l': 0.007570090104845186}",w,Inter,2021,Serie_A
16932,True,a,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '5'}","{'h': '1.09173', 'a': '3.31333'}",2021-12-17 19:45:00,"{'w': 0.08630199767411, 'd': 0.11663285988199926, 'l': 0.7970629158241156}",w,Inter,2021,Serie_A
16939,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '1', 'a': '0'}","{'h': '1.02989', 'a': '0.536356'}",2021-12-22 17:30:00,"{'w': 0.46993724100447576, 'd': 0.34112372091312576, 'l': 0.18893903808194487}",w,Inter,2021,Serie_A
16960,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '2', 'a': '1'}","{'h': '2.15451', 'a': '0.747451'}",2022-01-09 19:45:00,"{'w': 0.6975409530958541, 'd': 0.18600964824435157, 'l': 0.11644938842093264}",w,Inter,2021,Serie_A
16966,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '0'}","{'h': '1.51513', 'a': '1.50653'}",2022-01-16 19:45:00,"{'w': 0.3808831389657777, 'd': 0.2420040593821072, 'l': 0.3771128014702608}",d,Inter,2021,Serie_A
16980,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'h': '2', 'a': '1'}","{'h': '2.86895', 'a': '0.222828'}",2022-01-22 17:00:00,"{'w': 0.90534631379409, 'd': 0.07944189575490312, 'l': 0.01521140315879084}",w,Inter,2021,Serie_A
16989,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '2'}","{'h': '1.06379', 'a': '1.17012'}",2022-02-05 17:00:00,"{'w': 0.32935715039364505, 'd': 0.2881309768004746, 'l': 0.3825118728024643}",l,Inter,2021,Serie_A
17002,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '1'}","{'h': '1.87896', 'a': '0.770409'}",2022-02-12 17:00:00,"{'w': 0.6363990896303453, 'd': 0.21659584739799387, 'l': 0.1470050612731902}",d,Inter,2021,Serie_A
17009,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '0', 'a': '2'}","{'h': '3.34692', 'a': '1.94409'}",2022-02-20 17:00:00,"{'w': 0.6505558677331169, 'd': 0.15025884171725992, 'l': 0.19918277670296455}",l,Inter,2021,Serie_A
17018,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '0'}","{'h': '0.770871', 'a': '1.15904'}",2022-02-25 20:00:00,"{'w': 0.24418640028044314, 'd': 0.30687088772130866, 'l': 0.4489427119958742}",d,Inter,2021,Serie_A
17030,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '5', 'a': '0'}","{'h': '4.69296', 'a': '0.836976'}",2022-03-04 19:45:00,"{'w': 0.9350862460971658, 'd': 0.04344708192220114, 'l': 0.021350826593497615}",w,Inter,2021,Serie_A
17044,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '1'}","{'h': '2.30248', 'a': '2.6573'}",2022-03-13 19:45:00,"{'w': 0.347196537312193, 'd': 0.18225462092613348, 'l': 0.4705486683236573}",d,Inter,2021,Serie_A
17050,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '1', 'a': '1'}","{'h': '0.996394', 'a': '1.05358'}",2022-03-19 17:00:00,"{'w': 0.3332905348447885, 'd': 0.3037741880521378, 'l': 0.3629352771021641}",d,Inter,2021,Serie_A
17059,True,a,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '1'}","{'h': '1.89815', 'a': '1.0453'}",2022-04-03 18:45:00,"{'w': 0.5728112006106867, 'd': 0.22203402592474425, 'l': 0.20515477152090028}",w,Inter,2021,Serie_A
