id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
16760,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '3', 'a': '2'}","{'h': '1.72577', 'a': '1.63711'}",2021-08-22 16:30:00,"{'w': 0.40471150893148905, 'd': 0.22760349072019273, 'l': 0.3676849995320586}",l,Salernitana,2021,Serie_A
16775,True,h,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '4'}","{'h': '0.221399', 'a': '1.88679'}",2021-08-29 18:45:00,"{'w': 0.03658306660879157, 'd': 0.17774577361354066, 'l': 0.7856711579830046}",l,Salernitana,2021,Serie_A
16785,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '4', 'a': '0'}","{'h': '2.9969', 'a': '0.252452'}",2021-09-12 13:00:00,"{'w': 0.9100931361446596, 'd': 0.07419560172631524, 'l': 0.01571060016288853}",l,Salernitana,2021,Serie_A
16792,True,h,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '1'}","{'h': '0.792486', 'a': '1.38299'}",2021-09-18 18:45:00,"{'w': 0.21480972681866098, 'd': 0.2765601910823158, 'l': 0.508630082071835}",l,Salernitana,2021,Serie_A
16802,True,h,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '2', 'a': '2'}","{'h': '2.68942', 'a': '2.06188'}",2021-09-22 16:30:00,"{'w': 0.5195742335277918, 'd': 0.18177831573047087, 'l': 0.2986472714656709}",d,Salernitana,2021,Serie_A
16811,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '1', 'a': '0'}","{'h': '1.60845', 'a': '1.16385'}",2021-09-26 13:00:00,"{'w': 0.47687458398973276, 'd': 0.24715353346317273, 'l': 0.27597188233237363}",l,Salernitana,2021,Serie_A
16822,True,h,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '0'}","{'h': '0.547267', 'a': '1.58603'}",2021-10-02 13:00:00,"{'w': 0.12537884048230338, 'd': 0.245836752848266, 'l': 0.6287844064938807}",w,Salernitana,2021,Serie_A
16833,True,a,"{'id': '260', 'title': 'Spezia', 'short_title': 'SPE'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '2', 'a': '1'}","{'h': '1.67718', 'a': '1.60938'}",2021-10-16 13:00:00,"{'w': 0.3989862367431538, 'd': 0.23064233065489068, 'l': 0.37037143201521017}",l,Salernitana,2021,Serie_A
16842,True,h,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '2', 'a': '4'}","{'h': '1.37213', 'a': '2.83049'}",2021-10-23 13:00:00,"{'w': 0.16197044481126355, 'd': 0.1607152813974233, 'l': 0.6773139459829943}",l,Salernitana,2021,Serie_A
16855,True,a,"{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '1', 'a': '2'}","{'h': '0.62413', 'a': '1.52483'}",2021-10-26 16:30:00,"{'w': 0.15115771648175347, 'd': 0.25694516150611574, 'l': 0.5918971219091355}",w,Salernitana,2021,Serie_A
16863,True,h,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '1'}","{'h': '0.405769', 'a': '1.54055'}",2021-10-31 17:00:00,"{'w': 0.09449959231250595, 'd': 0.2470210241668759, 'l': 0.6584793834022403}",l,Salernitana,2021,Serie_A
16869,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '3', 'a': '0'}","{'h': '1.67971', 'a': '0.239577'}",2021-11-07 17:00:00,"{'w': 0.7401265062429571, 'd': 0.2119632191779809, 'l': 0.047910274198564196}",l,Salernitana,2021,Serie_A
16883,True,h,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '0', 'a': '2'}","{'h': '0.982098', 'a': '1.52856'}",2021-11-21 14:00:00,"{'w': 0.2430405153694817, 'd': 0.2572832799131895, 'l': 0.4996762046106271}",l,Salernitana,2021,Serie_A
16886,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '1', 'a': '1'}","{'h': '1.71881', 'a': '0.238047'}",2021-11-26 19:45:00,"{'w': 0.7487391000971888, 'd': 0.20530622552589167, 'l': 0.04595467385878226}",d,Salernitana,2021,Serie_A
16903,True,h,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '0', 'a': '2'}","{'h': '0.461655', 'a': '2.54436'}",2021-11-30 19:45:00,"{'w': 0.048039872910294455, 'd': 0.1270879902777026, 'l': 0.8248720504108875}",l,Salernitana,2021,Serie_A
16910,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '2', 'a': '0'}","{'h': '2.58223', 'a': '0.194258'}",2021-12-04 14:00:00,"{'w': 0.8855066722362973, 'd': 0.09762748094776014, 'l': 0.016865742701362985}",l,Salernitana,2021,Serie_A
16916,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '4', 'a': '0'}","{'h': '2.74247', 'a': '0.924612'}",2021-12-11 14:00:00,"{'w': 0.7544248810647015, 'd': 0.14501902240185527, 'l': 0.10055587511905681}",l,Salernitana,2021,Serie_A
16932,True,h,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '5'}","{'h': '1.09173', 'a': '3.31333'}",2021-12-17 19:45:00,"{'w': 0.08630199767411, 'd': 0.11663285988199926, 'l': 0.7970629158241156}",l,Salernitana,2021,Serie_A
16959,True,a,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '1', 'a': '2'}","{'h': '1.38469', 'a': '1.28422'}",2022-01-09 19:45:00,"{'w': 0.3934913916327317, 'd': 0.25953828219822755, 'l': 0.3469703261315959}",w,Salernitana,2021,Serie_A
16972,True,h,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '3'}","{'h': '0.232152', 'a': '1.73777'}",2022-01-15 17:00:00,"{'w': 0.04399331501547205, 'd': 0.2016683453713028, 'l': 0.7543383390130951}",l,Salernitana,2021,Serie_A
16983,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '4', 'a': '1'}","{'h': '4.54865', 'a': '0.0822889'}",2022-01-23 14:00:00,"{'w': 0.985167900660493, 'd': 0.013749298385694166, 'l': 0.0010000266870608236}",l,Salernitana,2021,Serie_A
16992,True,h,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '260', 'title': 'Spezia', 'short_title': 'SPE'}","{'h': '2', 'a': '2'}","{'h': '0.419799', 'a': '1.99832'}",2022-02-07 19:45:00,"{'w': 0.06722569234643443, 'd': 0.18103928484903578, 'l': 0.7517350189758146}",d,Salernitana,2021,Serie_A
