id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
16761,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '2', 'a': '2'}","{'h': '2.08573', 'a': '1.49379'}",2021-08-22 16:30:00,"{'w': 0.5131813848053172, 'd': 0.21107664005654614, 'l': 0.2757419683512901}",d,Udinese,2021,Serie_A
16766,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'h': '3', 'a': '0'}","{'h': '3.01783', 'a': '0.908926'}",2021-08-27 16:30:00,"{'w': 0.7945428020310955, 'd': 0.12429894235155796, 'l': 0.08115753490511074}",w,Udinese,2021,Serie_A
16784,True,a,"{'id': '260', 'title': 'Spezia', 'short_title': 'SPE'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '0', 'a': '1'}","{'h': '0.788419', 'a': '0.78059'}",2021-09-12 13:00:00,"{'w': 0.3234887663831739, 'd': 0.3575368024408176, 'l': 0.31897443117598895}",w,Udinese,2021,Serie_A
16794,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '4'}","{'h': '0.243458', 'a': '3.30273'}",2021-09-20 18:45:00,"{'w': 0.0114443685308652, 'd': 0.057117984301470484, 'l': 0.9314355041533156}",l,Udinese,2021,Serie_A
16801,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '0'}","{'h': '1.383', 'a': '0.809534'}",2021-09-23 18:45:00,"{'w': 0.5042099531631395, 'd': 0.2762694658842941, 'l': 0.21952058092537177}",l,Udinese,2021,Serie_A
16813,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '0', 'a': '1'}","{'h': '0.492029', 'a': '1.13861'}",2021-09-26 13:00:00,"{'w': 0.15947172844573712, 'd': 0.3218539841140327, 'l': 0.5186742874383831}",l,Udinese,2021,Serie_A
16823,True,a,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '3', 'a': '3'}","{'h': '1.52931', 'a': '3.28192'}",2021-10-03 13:00:00,"{'w': 0.14491453194703036, 'd': 0.1398579772578091, 'l': 0.7152255036776232}",d,Udinese,2021,Serie_A
16834,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '1', 'a': '1'}","{'h': '1.35716', 'a': '1.49614'}",2021-10-17 13:00:00,"{'w': 0.34406977735545213, 'd': 0.24940030951551428, 'l': 0.4065299130284934}",d,Udinese,2021,Serie_A
16836,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '1'}","{'h': '0.629032', 'a': '0.667553'}",2021-10-24 10:30:00,"{'w': 0.28762881099618265, 'd': 0.4009271553731326, 'l': 0.31144403363068357}",d,Udinese,2021,Serie_A
16854,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '1', 'a': '1'}","{'h': '0.940667', 'a': '0.843224'}",2021-10-27 16:30:00,"{'w': 0.3616652934324499, 'd': 0.3300960823638736, 'l': 0.3082386242035228}",d,Udinese,2021,Serie_A
16861,True,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '2', 'a': '0'}","{'h': '2.0569', 'a': '0.303819'}",2021-10-31 11:30:00,"{'w': 0.792310859252157, 'd': 0.16319268818644259, 'l': 0.044496446968704605}",l,Udinese,2021,Serie_A
16874,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '3', 'a': '2'}","{'h': '1.59111', 'a': '0.694033'}",2021-11-07 14:00:00,"{'w': 0.58957593242346, 'd': 0.2492342780284135, 'l': 0.16118978936481818}",w,Udinese,2021,Serie_A
16885,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '2', 'a': '1'}","{'h': '1.93566', 'a': '1.00294'}",2021-11-22 19:45:00,"{'w': 0.5911838377717761, 'd': 0.21776700382176992, 'l': 0.19104915588949567}",l,Udinese,2021,Serie_A
16894,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '0', 'a': '0'}","{'h': '0.782758', 'a': '0.602047'}",2021-11-28 11:30:00,"{'w': 0.3629616319152428, 'd': 0.38301310975368025, 'l': 0.25402525833106726}",d,Udinese,2021,Serie_A
16902,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '4', 'a': '4'}","{'h': '1.45921', 'a': '2.04224'}",2021-12-02 19:45:00,"{'w': 0.2749648305099332, 'd': 0.2137912055285775, 'l': 0.5112439588122346}",d,Udinese,2021,Serie_A
16908,True,a,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '3', 'a': '1'}","{'h': '2.02523', 'a': '2.08721'}",2021-12-06 17:30:00,"{'w': 0.38629196873587385, 'd': 0.20381550677317536, 'l': 0.40989251315574204}",l,Udinese,2021,Serie_A
16924,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '1'}","{'h': '2.28394', 'a': '1.15102'}",2021-12-11 19:45:00,"{'w': 0.6280362481276457, 'd': 0.19186353789296257, 'l': 0.18010019219625284}",d,Udinese,2021,Serie_A
16928,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '0', 'a': '4'}","{'h': '0.183657', 'a': '0.521701'}",2021-12-18 19:45:00,"{'w': 0.1042762610648511, 'd': 0.5424030635137279, 'l': 0.353320675421421}",w,Udinese,2021,Serie_A
16964,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '6'}","{'h': '0.725694', 'a': '3.65946'}",2022-01-09 15:30:00,"{'w': 0.036811991272139306, 'd': 0.07520504190895616, 'l': 0.8879757861063419}",l,Udinese,2021,Serie_A
16969,True,a,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '2', 'a': '0'}","{'h': '1.70532', 'a': '0.552532'}",2022-01-15 19:45:00,"{'w': 0.6556171438705358, 'd': 0.22889959972975618, 'l': 0.11548325593351041}",l,Udinese,2021,Serie_A
16978,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '0', 'a': '0'}","{'h': '1.73379', 'a': '0.0599026'}",2022-01-22 14:00:00,"{'w': 0.805119008260594, 'd': 0.18407489816483824, 'l': 0.010806092992576137}",d,Udinese,2021,Serie_A
16994,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '2', 'a': '0'}","{'h': '1.18272', 'a': '0.231176'}",2022-02-06 17:00:00,"{'w': 0.6136832551493809, 'd': 0.31437273522929227, 'l': 0.07194400961819096}",w,Udinese,2021,Serie_A
16999,True,a,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '4', 'a': '0'}","{'h': '0.622109', 'a': '1.01066'}",2022-02-13 14:00:00,"{'w': 0.2210904203587182, 'd': 0.3389493353924862, 'l': 0.43996024424844676}",l,Udinese,2021,Serie_A
17014,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '1', 'a': '1'}","{'h': '1.84915', 'a': '1.33877'}",2022-02-20 19:45:00,"{'w': 0.4946715993553013, 'd': 0.22696982753871825, 'l': 0.2783585717147932}",d,Udinese,2021,Serie_A
17021,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '1'}","{'h': '0.778008', 'a': '0.698483'}",2022-02-25 17:45:00,"{'w': 0.3382011007074178, 'd': 0.37049553876543223, 'l': 0.2913033605271396}",d,Udinese,2021,Serie_A
17034,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '2', 'a': '1'}","{'h': '2.57043', 'a': '0.661531'}",2022-03-05 14:00:00,"{'w': 0.7851867334776169, 'd': 0.14115674652528765, 'l': 0.07365642172574242}",w,Udinese,2021,Serie_A
17045,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '1', 'a': '1'}","{'h': '0.92821', 'a': '1.07674'}",2022-03-13 17:00:00,"{'w': 0.30775055828012066, 'd': 0.3068652176424525, 'l': 0.3853842240764756}",d,Udinese,2021,Serie_A
17052,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '2', 'a': '1'}","{'h': '1.28206', 'a': '0.771369'}",2022-03-19 14:00:00,"{'w': 0.48553595840735625, 'd': 0.2902062985880438, 'l': 0.22425774299501108}",l,Udinese,2021,Serie_A
17065,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '5', 'a': '1'}","{'h': '5.37396', 'a': '0.256503'}",2022-04-03 13:00:00,"{'w': 0.9870906343623177, 'd': 0.010519846426311506, 'l': 0.0019152392389864515}",w,Udinese,2021,Serie_A
17075,True,a,"{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '2'}","{'h': '1.18437', 'a': '3.08444'}",2022-04-10 13:00:00,"{'w': 0.11275662633919083, 'd': 0.13582646663617826, 'l': 0.7514159668204565}",w,Udinese,2021,Serie_A
17085,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '4', 'a': '1'}","{'h': '1.12137', 'a': '1.96032'}",2022-04-16 12:30:00,"{'w': 0.21367026668739242, 'd': 0.217741264603182, 'l': 0.5685884657340108}",w,Udinese,2021,Serie_A
16944,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '0', 'a': '1'}","{'h': '0.480919', 'a': '1.09235'}",2022-04-20 16:45:00,"{'w': 0.16172445396999013, 'd': 0.3314722604508143, 'l': 0.5068032855781598}",l,Udinese,2021,Serie_A
17086,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '2', 'a': '2'}","{'h': '0.933408', 'a': '1.71422'}",2022-04-24 13:00:00,"{'w': 0.2039086842794972, 'd': 0.2383805280675394, 'l': 0.5577107871529525}",d,Udinese,2021,Serie_A
16948,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '0', 'a': '4'}","{'h': '2.81473', 'a': '3.3303'}",2022-04-27 16:00:00,"{'w': 0.33858979757719815, 'd': 0.16135046875322806, 'l': 0.5000570612328762}",w,Udinese,2021,Serie_A
17105,True,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '2'}","{'h': '1.22718', 'a': '2.52307'}",2022-05-01 16:00:00,"{'w': 0.1682888912627946, 'd': 0.1763070708661034, 'l': 0.6554039601773517}",l,Udinese,2021,Serie_A
