id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29850,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '291', 'title': 'Pisa', 'short_title': 'PIS'}","{'h': '1', 'a': '1'}","{'h': '2.04697', 'a': '1.02901'}",2025-08-24 18:45:00,"{'w': 0.6086873100280612, 'd': 0.20821981443717874, 'l': 0.1830928702849687}",d,Atalanta,2025,Serie_A
29857,True,a,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '1', 'a': '1'}","{'h': '0.751112', 'a': '1.19727'}",2025-08-30 16:30:00,"{'w': 0.2318031666502242, 'd': 0.302514269818365, 'l': 0.46568256352769033}",d,Atalanta,2025,Serie_A
29869,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '4', 'a': '1'}","{'h': '2.62415', 'a': '0.532382'}",2025-09-14 13:00:00,"{'w': 0.8199189090319988, 'd': 0.1263454133165338, 'l': 0.053735550143798196}",w,Atalanta,2025,Serie_A
29874,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '3'}","{'h': '1.31336', 'a': '1.67723'}",2025-09-21 13:00:00,"{'w': 0.30072937937253147, 'd': 0.2391022416329749, 'l': 0.4601683786081137}",w,Atalanta,2025,Serie_A
29887,True,a,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '1', 'a': '1'}","{'h': '1.84242', 'a': '0.885278'}",2025-09-27 16:00:00,"{'w': 0.5993537425038402, 'd': 0.22420441319033038, 'l': 0.17644184299693014}",d,Atalanta,2025,Serie_A
29894,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'h': '1', 'a': '1'}","{'h': '1.74169', 'a': '0.959121'}",2025-10-04 18:45:00,"{'w': 0.5578713124910872, 'd': 0.23583987108452317, 'l': 0.20628881580572475}",d,Atalanta,2025,Serie_A
29904,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '0'}","{'h': '2.38095', 'a': '0.220276'}",2025-10-19 16:00:00,"{'w': 0.858191033026752, 'd': 0.11849729804037455, 'l': 0.023311631784063865}",d,Atalanta,2025,Serie_A
29916,True,a,"{'id': '272', 'title': 'Cremonese', 'short_title': 'CRE'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '1', 'a': '1'}","{'h': '0.967146', 'a': '1.62371'}",2025-10-25 18:45:00,"{'w': 0.22485016458005236, 'd': 0.2477814696620084, 'l': 0.5273683655166973}",d,Atalanta,2025,Serie_A
29924,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '1'}","{'h': '1.28167', 'a': '0.626418'}",2025-10-28 18:45:00,"{'w': 0.5243918193076422, 'd': 0.2936309343601117, 'l': 0.18197724632270498}",d,Atalanta,2025,Serie_A
29942,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '1', 'a': '0'}","{'h': '0.707338', 'a': '0.270197'}",2025-11-01 14:00:00,"{'w': 0.4206403763421402, 'd': 0.4516536496691105, 'l': 0.12770597398874708}",l,Atalanta,2025,Serie_A
29944,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '0', 'a': '3'}","{'h': '0.707859', 'a': '2.20132'}",2025-11-09 11:30:00,"{'w': 0.10543826225985418, 'd': 0.17889463494010924, 'l': 0.7156670892673775}",l,Atalanta,2025,Serie_A
29960,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '3', 'a': '1'}","{'h': '2.02765', 'a': '0.825775'}",2025-11-22 19:45:00,"{'w': 0.6536885699431843, 'd': 0.20293144649713893, 'l': 0.14337997892381601}",l,Atalanta,2025,Serie_A
29964,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '2', 'a': '0'}","{'h': '2.29028', 'a': '2.01961'}",2025-11-30 17:00:00,"{'w': 0.45166237841075596, 'd': 0.19730288447984742, 'l': 0.3510347101365239}",w,Atalanta,2025,Serie_A
29983,True,a,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '3', 'a': '1'}","{'h': '1.60244', 'a': '1.76527'}",2025-12-06 19:45:00,"{'w': 0.35259615441376374, 'd': 0.22689614652385423, 'l': 0.42050769812032673}",l,Atalanta,2025,Serie_A
29984,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '2', 'a': '1'}","{'h': '3.08558', 'a': '0.568619'}",2025-12-13 19:45:00,"{'w': 0.8638192962192898, 'd': 0.09555189287349941, 'l': 0.04062786647676273}",w,Atalanta,2025,Serie_A
29997,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '1'}","{'h': '0.967673', 'a': '1.76564'}",2025-12-21 19:45:00,"{'w': 0.2050654732802202, 'd': 0.23354213639653826, 'l': 0.5613923895806745}",w,Atalanta,2025,Serie_A
30013,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '1'}","{'h': '1.16924', 'a': '1.63271'}",2025-12-28 19:45:00,"{'w': 0.2732981954127627, 'd': 0.24509100380964094, 'l': 0.4816108005152162}",l,Atalanta,2025,Serie_A
30014,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '1', 'a': '0'}","{'h': '2.73637', 'a': '1.01018'}",2026-01-03 19:45:00,"{'w': 0.7359215009786666, 'd': 0.15043540712068945, 'l': 0.11364287654551877}",w,Atalanta,2025,Serie_A
30024,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '2'}","{'h': '1.11527', 'a': '1.33342'}",2026-01-07 17:30:00,"{'w': 0.3119779389101546, 'd': 0.27135000067793846, 'l': 0.41667206039406124}",w,Atalanta,2025,Serie_A
