id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29849,True,a,"{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '2', 'a': '0'}","{'h': '1.28478', 'a': '0.202984'}",2025-08-24 16:30:00,"{'w': 0.6537444250779725, 'd': 0.28873727588531606, 'l': 0.0575182990268454}",l,Lazio,2025,Serie_A
29863,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '4', 'a': '0'}","{'h': '3.96645', 'a': '0.600485'}",2025-08-31 18:45:00,"{'w': 0.9236523931731201, 'd': 0.05441033059843086, 'l': 0.02191915913940708}",w,Lazio,2025,Serie_A
29870,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '1', 'a': '0'}","{'h': '1.2156', 'a': '0.858246'}",2025-09-14 16:00:00,"{'w': 0.4439891110632688, 'd': 0.29528295672555566, 'l': 0.2607279322065534}",l,Lazio,2025,Serie_A
29881,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '1'}","{'h': '0.666967', 'a': '1.22639'}",2025-09-21 10:30:00,"{'w': 0.20186566268687273, 'd': 0.30131651845901586, 'l': 0.4968178188489249}",l,Lazio,2025,Serie_A
29886,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '3'}","{'h': '1.47659', 'a': '3.54059'}",2025-09-29 18:45:00,"{'w': 0.11804657226695393, 'd': 0.12347138188811259, 'l': 0.7584771629335331}",w,Lazio,2025,Serie_A
29899,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '3', 'a': '3'}","{'h': '1.45075', 'a': '2.18108'}",2025-10-04 13:00:00,"{'w': 0.2528816825626187, 'd': 0.20500265665032963, 'l': 0.5421156487293888}",d,Lazio,2025,Serie_A
29904,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '0'}","{'h': '2.38095', 'a': '0.220276'}",2025-10-19 16:00:00,"{'w': 0.858191033026752, 'd': 0.11849729804037455, 'l': 0.023311631784063865}",d,Lazio,2025,Serie_A
29918,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '1', 'a': '0'}","{'h': '0.905304', 'a': '1.24614'}",2025-10-26 18:45:00,"{'w': 0.2691135437333237, 'd': 0.2895262279316501, 'l': 0.4413602283284834}",w,Lazio,2025,Serie_A
29932,True,a,"{'id': '291', 'title': 'Pisa', 'short_title': 'PIS'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '0'}","{'h': '0.780185', 'a': '0.657914'}",2025-10-30 18:45:00,"{'w': 0.3484973686939478, 'd': 0.3757803032940791, 'l': 0.27572232801196345}",d,Lazio,2025,Serie_A
29936,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '2', 'a': '0'}","{'h': '0.587684', 'a': '1.48457'}",2025-11-03 19:45:00,"{'w': 0.14622268106079503, 'd': 0.2621578769144799, 'l': 0.5916194419531438}",w,Lazio,2025,Serie_A
