id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29844,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '0', 'a': '0'}","{'h': '0.56563', 'a': '0.55094'}",2025-08-23 16:30:00,"{'w': 0.28594885394185854, 'd': 0.4376574939692856, 'l': 0.2763936520888559}",d,Lecce,2025,Serie_A
29855,True,h,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '0', 'a': '2'}","{'h': '0.481693', 'a': '2.13175'}",2025-08-29 18:45:00,"{'w': 0.07059113743117384, 'd': 0.1702000139254317, 'l': 0.7592088397256874}",l,Lecce,2025,Serie_A
29869,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '4', 'a': '1'}","{'h': '2.62415', 'a': '0.532382'}",2025-09-14 13:00:00,"{'w': 0.8199189090319988, 'd': 0.1263454133165338, 'l': 0.053735550143798196}",l,Lecce,2025,Serie_A
29882,True,h,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '1', 'a': '2'}","{'h': '1.13998', 'a': '2.21034'}",2025-09-19 18:45:00,"{'w': 0.18638239829073988, 'd': 0.19742561897733588, 'l': 0.6161919684614109}",l,Lecce,2025,Serie_A
29888,True,h,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '2', 'a': '2'}","{'h': '2.09017', 'a': '1.5908'}",2025-09-28 16:00:00,"{'w': 0.4939931927431395, 'd': 0.21049322002456108, 'l': 0.29551358015158136}",d,Lecce,2025,Serie_A
29901,True,a,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '0', 'a': '1'}","{'h': '1.08896', 'a': '0.622459'}",2025-10-04 13:00:00,"{'w': 0.46587329510786213, 'd': 0.32540832659010466, 'l': 0.20871837830104142}",w,Lecce,2025,Serie_A
29910,True,h,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '0', 'a': '0'}","{'h': '0.66998', 'a': '0.77146'}",2025-10-18 13:00:00,"{'w': 0.2820135977740785, 'd': 0.37560798435087067, 'l': 0.34237841787504203}",d,Lecce,2025,Serie_A
29914,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '3', 'a': '2'}","{'h': '1.51576', 'a': '0.373551'}",2025-10-25 13:00:00,"{'w': 0.6619354484139106, 'd': 0.24968037299420506, 'l': 0.08838417849690623}",l,Lecce,2025,Serie_A
29931,True,h,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '1'}","{'h': '1.02929', 'a': '0.92446'}",2025-10-28 16:30:00,"{'w': 0.3715532253800642, 'd': 0.31229970467882384, 'l': 0.31614706994056246}",l,Lecce,2025,Serie_A
29935,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '0', 'a': '1'}","{'h': '1.38997', 'a': '1.3239'}",2025-11-02 14:00:00,"{'w': 0.38656247030335694, 'd': 0.2572512705986299, 'l': 0.35618625905397766}",w,Lecce,2025,Serie_A
29950,True,h,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '0', 'a': '0'}","{'h': '0.555045', 'a': '0.691863'}",2025-11-08 14:00:00,"{'w': 0.25276493883016393, 'd': 0.408813277681298, 'l': 0.3384217834885365}",d,Lecce,2025,Serie_A
29959,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '2', 'a': '0'}","{'h': '1.49492', 'a': '0.544669'}",2025-11-23 17:00:00,"{'w': 0.6065008352798666, 'd': 0.2596134951192391, 'l': 0.1338856695222138}",l,Lecce,2025,Serie_A
29969,True,h,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '2', 'a': '1'}","{'h': '0.948606', 'a': '2.0632'}",2025-11-30 11:30:00,"{'w': 0.16465343914759079, 'd': 0.2042215824595598, 'l': 0.6311249725716749}",w,Lecce,2025,Serie_A
29975,True,a,"{'id': '272', 'title': 'Cremonese', 'short_title': 'CRE'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '2', 'a': '0'}","{'h': '2.08254', 'a': '1.37526'}",2025-12-07 11:30:00,"{'w': 0.5378119339490457, 'd': 0.2109993638520454, 'l': 0.251188695597579}",l,Lecce,2025,Serie_A
29988,True,h,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '291', 'title': 'Pisa', 'short_title': 'PIS'}","{'h': '1', 'a': '0'}","{'h': '2.79987', 'a': '0.303651'}",2025-12-12 19:45:00,"{'w': 0.8847156375065871, 'd': 0.0919766624362697, 'l': 0.023307413606874817}",w,Lecce,2025,Serie_A
30006,True,h,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'h': '0', 'a': '3'}","{'h': '1.15442', 'a': '2.33352'}",2025-12-27 14:00:00,"{'w': 0.17523783678272947, 'd': 0.18806420062897733, 'l': 0.6366979338791583}",l,Lecce,2025,Serie_A
