id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29845,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '2'}","{'h': '0.298477', 'a': '1.55456'}",2025-08-23 16:30:00,"{'w': 0.06748410065522317, 'd': 0.23838256883066175, 'l': 0.6941333303802775}",w,Napoli,2025,Serie_A
29859,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '1', 'a': '0'}","{'h': '1.73158', 'a': '0.64413'}",2025-08-30 18:45:00,"{'w': 0.6366466297143906, 'd': 0.2293712323616355, 'l': 0.13398213735183426}",w,Napoli,2025,Serie_A
29866,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '3'}","{'h': '1.39098', 'a': '3.55376'}",2025-09-13 18:45:00,"{'w': 0.10678213040444662, 'd': 0.11877489427189955, 'l': 0.7744378751595955}",w,Napoli,2025,Serie_A
29883,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '291', 'title': 'Pisa', 'short_title': 'PIS'}","{'h': '3', 'a': '2'}","{'h': '1.18611', 'a': '2.51985'}",2025-09-22 18:45:00,"{'w': 0.16140350267250755, 'd': 0.17499264152774957, 'l': 0.6636037793539789}",w,Napoli,2025,Serie_A
29889,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '2', 'a': '1'}","{'h': '0.952575', 'a': '2.23894'}",2025-09-28 18:45:00,"{'w': 0.14711596539395866, 'd': 0.18822312166860403, 'l': 0.6646608960874741}",l,Napoli,2025,Serie_A
29900,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '1'}","{'h': '1.87915', 'a': '0.691583'}",2025-10-05 16:00:00,"{'w': 0.6567331035282659, 'd': 0.21322548147960774, 'l': 0.1300414132913839}",w,Napoli,2025,Serie_A
29906,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '0'}","{'h': '1.90815', 'a': '1.71911'}",2025-10-18 16:00:00,"{'w': 0.42933593335067965, 'd': 0.21752175164139717, 'l': 0.3531423124055836}",l,Napoli,2025,Serie_A
29920,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '3', 'a': '1'}","{'h': '1.18626', 'a': '2.07077'}",2025-10-25 16:00:00,"{'w': 0.21300942734869444, 'd': 0.20971035564651586, 'l': 0.577280210894888}",w,Napoli,2025,Serie_A
29931,True,a,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '1'}","{'h': '1.02929', 'a': '0.92446'}",2025-10-28 16:30:00,"{'w': 0.3715532253800642, 'd': 0.31229970467882384, 'l': 0.31614706994056246}",w,Napoli,2025,Serie_A
29938,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'h': '0', 'a': '0'}","{'h': '0.762314', 'a': '1.17012'}",2025-11-01 17:00:00,"{'w': 0.239695915487079, 'd': 0.30577421172970026, 'l': 0.4545298727805127}",d,Napoli,2025,Serie_A
