id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29853,True,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '5', 'a': '0'}","{'h': '2.60956', 'a': '0.816232'}",2025-08-25 18:45:00,"{'w': 0.7576182597196973, 'd': 0.14868586595383, 'l': 0.09369575545138419}",l,Torino,2025,Serie_A
29861,True,h,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '0', 'a': '0'}","{'h': '1.05012', 'a': '1.18859'}",2025-08-31 16:30:00,"{'w': 0.32173731745686673, 'd': 0.28739171164270355, 'l': 0.39087097089647493}",d,Torino,2025,Serie_A
29867,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '0', 'a': '1'}","{'h': '1.02943', 'a': '0.805089'}",2025-09-14 10:30:00,"{'w': 0.3996315227372538, 'd': 0.32212136614755943, 'l': 0.27824711111472183}",w,Torino,2025,Serie_A
29874,True,h,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '3'}","{'h': '1.31336', 'a': '1.67723'}",2025-09-21 13:00:00,"{'w': 0.30072937937253147, 'd': 0.2391022416329749, 'l': 0.4601683786081137}",l,Torino,2025,Serie_A
29890,True,a,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '2', 'a': '1'}","{'h': '1.44462', 'a': '0.660829'}",2025-09-29 16:30:00,"{'w': 0.5606816299861468, 'd': 0.268932756245992, 'l': 0.17038561371851335}",l,Torino,2025,Serie_A
29899,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '3', 'a': '3'}","{'h': '1.45075', 'a': '2.18108'}",2025-10-04 13:00:00,"{'w': 0.2528816825626187, 'd': 0.20500265665032963, 'l': 0.5421156487293888}",d,Torino,2025,Serie_A
29906,True,h,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '0'}","{'h': '1.90815', 'a': '1.71911'}",2025-10-18 16:00:00,"{'w': 0.42933593335067965, 'd': 0.21752175164139717, 'l': 0.3531423124055836}",w,Torino,2025,Serie_A
29923,True,h,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '1'}","{'h': '1.8196', 'a': '1.9796'}",2025-10-26 10:30:00,"{'w': 0.3622672557479592, 'd': 0.21231184282395407, 'l': 0.42542089693613544}",w,Torino,2025,Serie_A
29925,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '0', 'a': '0'}","{'h': '0.3322', 'a': '0.797473'}",2025-10-29 18:45:00,"{'w': 0.1439592846260768, 'd': 0.41458442532576684, 'l': 0.44145629004814424}",d,Torino,2025,Serie_A
29941,True,h,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '291', 'title': 'Pisa', 'short_title': 'PIS'}","{'h': '2', 'a': '2'}","{'h': '1.22388', 'a': '1.90329'}",2025-11-02 14:00:00,"{'w': 0.24423850842930417, 'd': 0.22329552597300653, 'l': 0.5324659635787512}",d,Torino,2025,Serie_A
