id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29852,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '1', 'a': '1'}","{'h': '1.05058', 'a': '0.799203'}",2025-08-25 16:30:00,"{'w': 0.40785462563198394, 'd': 0.3197646924602338, 'l': 0.2723806819071698}",d,Verona,2025,Serie_A
29863,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '4', 'a': '0'}","{'h': '3.96645', 'a': '0.600485'}",2025-08-31 18:45:00,"{'w': 0.9236523931731201, 'd': 0.05441033059843086, 'l': 0.02191915913940708}",l,Verona,2025,Serie_A
29872,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '272', 'title': 'Cremonese', 'short_title': 'CRE'}","{'h': '0', 'a': '0'}","{'h': '1.8883', 'a': '0.166346'}",2025-09-15 16:30:00,"{'w': 0.8014193887729185, 'd': 0.17166104312469746, 'l': 0.026919566288605524}",d,Verona,2025,Serie_A
29876,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '1', 'a': '1'}","{'h': '1.65885', 'a': '0.470357'}",2025-09-20 16:00:00,"{'w': 0.6679903700227116, 'd': 0.23147754006816806, 'l': 0.10053208958747228}",d,Verona,2025,Serie_A
29892,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '2', 'a': '0'}","{'h': '1.30542', 'a': '1.35351'}",2025-09-28 13:00:00,"{'w': 0.3586439190483702, 'd': 0.26040093784401935, 'l': 0.3809551430751001}",l,Verona,2025,Serie_A
29903,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '0', 'a': '1'}","{'h': '0.810981', 'a': '1.5058'}",2025-10-03 18:45:00,"{'w': 0.20204350104693478, 'd': 0.26113004402243173, 'l': 0.5368264548437809}",l,Verona,2025,Serie_A
29912,True,a,"{'id': '291', 'title': 'Pisa', 'short_title': 'PIS'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '0', 'a': '0'}","{'h': '0.572009', 'a': '1.65491'}",2025-10-18 13:00:00,"{'w': 0.12469378370332489, 'd': 0.2368242540062737, 'l': 0.638481961978883}",d,Verona,2025,Serie_A
29915,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '2', 'a': '2'}","{'h': '2.03687', 'a': '0.837271'}",2025-10-26 13:00:00,"{'w': 0.652732536084779, 'd': 0.20248418577632382, 'l': 0.1447832732189256}",d,Verona,2025,Serie_A
29927,True,a,"{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '3', 'a': '1'}","{'h': '1.74279', 'a': '1.69938'}",2025-10-29 16:30:00,"{'w': 0.3965570471089632, 'd': 0.22482750650439406, 'l': 0.3786154453180205}",l,Verona,2025,Serie_A
29943,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '2'}","{'h': '0.372642', 'a': '1.15025'}",2025-11-02 11:30:00,"{'w': 0.11969314831900059, 'd': 0.32206310769932905, 'l': 0.5582437439795414}",l,Verona,2025,Serie_A
29950,True,a,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '0', 'a': '0'}","{'h': '0.555045', 'a': '0.691863'}",2025-11-08 14:00:00,"{'w': 0.25276493883016393, 'd': 0.408813277681298, 'l': 0.3384217834885365}",d,Verona,2025,Serie_A
29954,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'h': '1', 'a': '2'}","{'h': '0.943021', 'a': '1.51628'}",2025-11-23 11:30:00,"{'w': 0.23485823659802918, 'd': 0.2590423736502379, 'l': 0.5060993896561804}",l,Verona,2025,Serie_A
29967,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '2', 'a': '1'}","{'h': '1.64897', 'a': '2.60658'}",2025-11-29 14:00:00,"{'w': 0.2344736179860234, 'd': 0.18199959972392482, 'l': 0.5835266648148995}",l,Verona,2025,Serie_A
29983,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '3', 'a': '1'}","{'h': '1.60244', 'a': '1.76527'}",2025-12-06 19:45:00,"{'w': 0.35259615441376374, 'd': 0.22689614652385423, 'l': 0.42050769812032673}",w,Verona,2025,Serie_A
29986,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '1', 'a': '2'}","{'h': '2.41776', 'a': '1.53867'}",2025-12-14 14:00:00,"{'w': 0.5706082709974726, 'd': 0.19126756647855572, 'l': 0.23812411721666896}",w,Verona,2025,Serie_A
30007,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '3', 'a': '0'}","{'h': '2.87827', 'a': '0.32776'}",2025-12-28 11:30:00,"{'w': 0.8873606438061831, 'd': 0.08875784006335088, 'l': 0.023881113024857188}",l,Verona,2025,Serie_A
30023,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '0', 'a': '3'}","{'h': '0.260564', 'a': '1.70287'}",2026-01-04 17:00:00,"{'w': 0.051317557202400145, 'd': 0.20992046953840898, 'l': 0.7387619728018983}",l,Verona,2025,Serie_A
30029,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '2', 'a': '2'}","{'h': '1.57287', 'a': '1.29178'}",2026-01-07 17:30:00,"{'w': 0.43951887004708845, 'd': 0.2467653292781263, 'l': 0.313715800507315}",d,Verona,2025,Serie_A
30043,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '1'}","{'h': '0.584887', 'a': '0.64447'}",2026-01-11 17:00:00,"{'w': 0.2744586439555361, 'd': 0.41356367390854054, 'l': 0.3119776821359226}",l,Verona,2025,Serie_A
30003,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '2', 'a': '3'}","{'h': '1.6881', 'a': '0.690747'}",2026-01-15 17:30:00,"{'w': 0.614014482297685, 'd': 0.2365887359657437, 'l': 0.14939678132973494}",l,Verona,2025,Serie_A
30044,True,a,"{'id': '272', 'title': 'Cremonese', 'short_title': 'CRE'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '0', 'a': '0'}","{'h': '0.452062', 'a': '0.487484'}",2026-01-19 17:30:00,"{'w': 0.24694642552628407, 'd': 0.481790722391697, 'l': 0.2712628520820188}",d,Verona,2025,Serie_A
30063,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '3'}","{'h': '0.573784', 'a': '1.93652'}",2026-01-26 19:45:00,"{'w': 0.10071404121467142, 'd': 0.1999143197441802, 'l': 0.6993716365097045}",l,Verona,2025,Serie_A
30065,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '4', 'a': '0'}","{'h': '1.98129', 'a': '0.374813'}",2026-01-31 19:45:00,"{'w': 0.7606010494358287, 'd': 0.17937867481107478, 'l': 0.06002027233191618}",l,Verona,2025,Serie_A
30074,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '291', 'title': 'Pisa', 'short_title': 'PIS'}","{'h': '0', 'a': '0'}","{'h': '0.0783843', 'a': '1.26143'}",2026-02-06 19:45:00,"{'w': 0.022413522811976117, 'd': 0.28843661893616435, 'l': 0.6891498582442017}",d,Verona,2025,Serie_A
30090,True,a,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '2', 'a': '1'}","{'h': '2.16714', 'a': '0.856137'}",2026-02-15 14:00:00,"{'w': 0.6737530923384517, 'd': 0.19045907586093105, 'l': 0.1357878207539102}",l,Verona,2025,Serie_A
30103,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '3', 'a': '0'}","{'h': '1.58706', 'a': '0.615652'}",2026-02-20 19:45:00,"{'w': 0.6099497648058374, 'd': 0.24789188288500902, 'l': 0.14215835213205488}",l,Verona,2025,Serie_A
30109,True,h,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '2'}","{'h': '0.277835', 'a': '1.21355'}",2026-02-28 17:00:00,"{'w': 0.08432314689839578, 'd': 0.3075847514372321, 'l': 0.6080921016598912}",l,Verona,2025,Serie_A
