group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,Sub,14,6,24,692,5.77756480500102,1,0.9350745789706707,8,2023,Empoli,1,0,2,2.7323695365339518,3.5163778346031904,0.9474569149315357,1126,M&#039;Baye Niang
season,Sub,30,6,37,1480,6.151092629879713,0,0.7059758715331554,8,2022,Auxerre,2,2,3,3.870806861668825,4.830430816859007,1.045775093138218,1126,M&#039;Baye Niang
season,Sub,22,3,26,745,2.909442000091076,1,1.3408574722707272,8,2021,Bordeaux,3,0,3,2.909442000091076,4.110855782404542,0.42701741121709347,1126,M&#039;Baye Niang
season,FW,9,1,11,420,1.1708959937095642,0,0.015293099917471409,1,2020,Rennes,0,0,1,1.1708959937095642,0.9506953954696655,0.3389421943575144,1126,M&#039;Baye Niang
season,FW,26,9,66,2137,7.956860322505236,0,0.4745668042451143,10,2019,Rennes,2,0,9,6.436670307070017,7.742637000977993,1.5555588006973267,1126,M&#039;Baye Niang
season,Sub,29,11,65,1799,8.723232704214752,4,2.0234676906839013,11,2018,Rennes,5,0,9,7.203041720204055,7.94020602107048,1.0461307894438505,1126,M&#039;Baye Niang
season,AML,26,4,48,1557,4.843644771724939,1,0.8302578991279006,19,2017,Torino,5,0,4,4.843644771724939,5.614030862227082,0.7513452051207423,1126,M&#039;Baye Niang
season,AML,16,2,32,1278,1.2735738176852465,2,1.8515575043857098,9,2016,Watford,2,0,2,1.2735738176852465,3.6397408805787563,1.7139420974999666,1126,M&#039;Baye Niang
season,FWL,18,3,35,1127,5.139631345868111,2,1.6520633921027184,15,2016,AC Milan,0,1,2,2.855856701731682,5.679199635982513,1.991196478717029,1126,M&#039;Baye Niang
season,FW,16,5,37,1172,5.480824137106538,4,3.0249339751899242,14,2015,AC Milan,1,0,3,3.9582222122699022,8.454583105631173,2.4787554936483502,1126,M&#039;Baye Niang
season,Sub,14,5,35,983,3.81594380736351,2,2.7034949008375406,13,2014,Genoa,2,0,5,3.81594380736351,7.820626316592097,1.969543805345893,1126,M&#039;Baye Niang
season,Sub,5,0,4,82,0.3120796009898186,0,0.06111929938197136,1,2014,AC Milan,1,0,0,0.3120796009898186,0.1651109978556633,0,1126,M&#039;Baye Niang
