group_type,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup,player_id,player_name
season,MC,33,8,79,2902,11.417255909182131,19,15.933160498738289,125,2025,Manchester United,5,0,4,6.850242850370705,22.91757862549275,10.349333085119724,1228,Bruno Fernandes
season,FW,36,8,96,3034,9.887796703726053,10,10.227527445182204,92,2024,Manchester United,3,2,5,7.604290317744017,24.228133594617248,13.644698239862919,1228,Bruno Fernandes
season,MC,35,10,95,3121,10.746266636997461,8,13.15852378681302,113,2023,Manchester United,9,0,6,6.940422397106886,22.69340828806162,12.64676270633936,1228,Bruno Fernandes
season,MC,37,8,92,3326,9.385456696152687,8,17.266709440387785,118,2022,Manchester United,6,0,6,7.863118812441826,35.418096881359816,17.724953144788742,1228,Bruno Fernandes
season,AMC,36,10,89,3135,9.285304862074554,6,8.811852657236159,88,2021,Manchester United,10,0,10,7.762967492453754,22.98672279715538,11.14225958287716,1228,Bruno Fernandes
season,AMC,37,18,121,3117,16.019450719468296,12,11.474997889250517,95,2020,Manchester United,6,0,9,8.407837779261172,26.91141940653324,11.932286506518722,1228,Bruno Fernandes
season,AMC,14,8,44,1211,5.98607742600143,7,2.7549998983740807,30,2019,Manchester United,2,0,4,2.9414413776248693,8.513753656297922,4.864240288734436,1228,Bruno Fernandes
season,Sub,33,5,62,1736,5.761577281169593,2,4.4775946363806725,52,2016,Sampdoria,2,0,5,5.761577281169593,11.588001352734864,3.9690468413755298,1228,Bruno Fernandes
season,MC,31,3,52,2116,3.79332700651139,4,3.7490005446597934,44,2015,Udinese,7,1,2,2.2707290379330516,8.635709737427533,4.768451112322509,1228,Bruno Fernandes
season,Sub,31,3,41,1605,2.634341513738036,2,2.331952504813671,22,2014,Udinese,5,0,3,2.634341513738036,5.787391685880721,2.2256615795195103,1228,Bruno Fernandes
